Time            	H2O             	CO              	OH              	H2              	COCO*           	H*              	CHO*            	H2O*            	CO*             	*               
0.0000000000e+00	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00
1.0000000000e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	1.6532183418e-13	5.9067950992e-11	2.1412651012e-16	2.7296706342e-01	6.5756977088e-02	6.6127595944e-01
1.0232929923e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	1.7644926321e-13	6.0575900411e-11	2.2376085460e-16	2.7256293565e-01	6.7168925298e-02	6.6026813899e-01
1.0471285481e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	1.8833018446e-13	6.2116658560e-11	2.3383132677e-16	2.7214843048e-01	6.8611528770e-02	6.5924004069e-01
1.0715193052e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	2.0101573488e-13	6.3690877145e-11	2.4435771719e-16	2.7172353200e-01	7.0085402719e-02	6.5819106522e-01
1.0964781961e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	2.1456050743e-13	6.5299217053e-11	2.5536070697e-16	2.7128826242e-01	7.1591172664e-02	6.5712056485e-01
1.1220184543e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	2.2902278226e-13	6.6942349960e-11	2.6686190764e-16	2.7084262917e-01	7.3129473840e-02	6.5602789692e-01
1.1481536215e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	2.4446477249e-13	6.8620959249e-11	2.7888390241e-16	2.7038659544e-01	7.4700950885e-02	6.5491245361e-01
1.1748975549e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	2.6095288653e-13	7.0335739980e-11	2.9145028898e-16	2.6992008268e-01	7.6306257873e-02	6.5377365938e-01
1.2022644346e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	2.7855800730e-13	7.2087398403e-11	3.0458572398e-16	2.6944298800e-01	7.7946058519e-02	6.5261095341e-01
1.2302687708e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	2.9735578971e-13	7.3876651606e-11	3.1831596932e-16	2.6895519631e-01	7.9621026324e-02	6.5142377729e-01
1.2589254118e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	3.1742696620e-13	7.5704227508e-11	3.3266794079e-16	2.6845657997e-01	8.1331844561e-02	6.5021157539e-01
1.2882495517e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	3.3885771254e-13	7.7570864707e-11	3.4766975819e-16	2.6794700415e-01	8.3079206320e-02	6.4897378945e-01
1.3182567386e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	3.6173998976e-13	7.9477312662e-11	3.6335079820e-16	2.6742631926e-01	8.4863814391e-02	6.4770986627e-01
1.3489628826e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	3.8617192262e-13	8.1424331651e-11	3.7974174925e-16	2.6689436113e-01	8.6686381230e-02	6.4641925756e-01
1.3803842646e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	4.1225821586e-13	8.3412692617e-11	3.9687466847e-16	2.6635095482e-01	8.8547628946e-02	6.4510141615e-01
1.4125375446e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	4.4011057025e-13	8.5443177105e-11	4.1478304139e-16	2.6579591452e-01	9.0448289242e-02	6.4375579615e-01
1.4454397707e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	4.6984815255e-13	8.7516577101e-11	4.3350184373e-16	2.6522904662e-01	9.2389103368e-02	6.4238184992e-01
1.4791083882e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	5.0159809450e-13	8.9633694891e-11	4.5306760588e-16	2.6465015159e-01	9.4370822056e-02	6.4097902627e-01
1.5135612484e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	5.3549601394e-13	9.1795342958e-11	4.7351848002e-16	2.6405902390e-01	9.6394205416e-02	6.3954677059e-01
1.5488166189e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	5.7168656488e-13	9.4002343864e-11	4.9489431016e-16	2.6345545176e-01	9.8460022812e-02	6.3808452533e-01
1.5848931925e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	6.1032402508e-13	9.6255530100e-11	5.1723670494e-16	2.6283921772e-01	1.0056905274e-01	6.3659172944e-01
1.6218100974e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	6.5157292610e-13	9.8555743905e-11	5.4058911338e-16	2.6221009937e-01	1.0272208268e-01	6.3506781785e-01
1.6595869074e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	6.9560872156e-13	1.0090383707e-10	5.6499690372e-16	2.6156787009e-01	1.0491990895e-01	6.3351222086e-01
1.6982436525e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	7.4261846657e-13	1.0330067076e-10	5.9050744581e-16	2.6091229930e-01	1.0716333648e-01	6.3192436411e-01
1.7378008287e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	7.9280165616e-13	1.0574711523e-10	6.1717019551e-16	2.6024315342e-01	1.0945317870e-01	6.3030366777e-01
1.7782794100e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	8.4637096532e-13	1.0824404966e-10	6.4503678415e-16	2.5956019540e-01	1.1179025721e-01	6.2864954728e-01
1.8197008586e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	9.0355302537e-13	1.1079236185e-10	6.7416111171e-16	2.5886318473e-01	1.1417540162e-01	6.2696141353e-01
1.8620871367e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	9.6458949670e-13	1.1339294795e-10	7.0459944093e-16	2.5815187841e-01	1.1660944925e-01	6.2523867223e-01
1.9054607180e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	1.0297379496e-12	1.1604671212e-10	7.3641049805e-16	2.5742603084e-01	1.1909324484e-01	6.2348072420e-01
1.9498445998e-12	9.8522429371e-01	1.4775704513e-02	1.7732618677e-09	0.0000000000e+00	1.0992728358e-12	1.1875456627e-10	7.6965557707e-16	2.5668539393e-01	1.2162764025e-01	6.2168696569e-01
