Time            	H2O             	CO              	OH              	H2              	COCO*           	H*              	CHO*            	H2O*            	CO*             	*               
0.0000000000e+00	-2.5372147165e+12	-9.1757125025e+10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5372147165e+12	9.1757125025e+10	-2.6289718415e+12
1.0000000000e-12	1.7326367860e+10	-6.0663255414e+10	6.4786723761e+01	2.0382049626e-10	4.6760088811e-01	6.4786314539e+01	4.0922103161e-04	-1.7326367924e+10	6.0663255413e+10	-4.3336887554e+10
1.0232929923e-12	1.7373791325e+10	-6.0570490285e+10	6.4690816403e+01	2.0902384247e-10	4.8789727654e-01	6.4690398394e+01	4.1800791520e-04	-1.7373791389e+10	6.0570490284e+10	-4.3196698961e+10
1.0471285481e-12	1.7408220347e+10	-6.0475858213e+10	6.4592446250e+01	2.1434039883e-10	5.0907964552e-01	6.4592019264e+01	4.2698557364e-04	-1.7408220412e+10	6.0475858212e+10	-4.3067637866e+10
1.0715193052e-12	1.7431076776e+10	-6.0379304081e+10	6.4491609531e+01	2.1977241413e-10	5.3118601430e-01	6.4491173373e+01	4.3615783558e-04	-1.7431076841e+10	6.0379304080e+10	-4.2948227305e+10
1.0964781961e-12	1.7444141996e+10	-6.0280768325e+10	6.4388311523e+01	2.2532216882e-10	5.5425597227e-01	6.4387865994e+01	4.4552859374e-04	-1.7444142061e+10	6.0280768323e+10	-4.2836626328e+10
1.1220184543e-12	1.7449092637e+10	-6.0180191846e+10	6.4282553992e+01	2.3099198060e-10	5.7833072894e-01	6.4282098889e+01	4.5510180135e-04	-1.7449092701e+10	6.0180191845e+10	-4.2731099209e+10
1.1481536215e-12	1.7447242364e+10	-6.0077518739e+10	6.4174328205e+01	2.3678420757e-10	6.0345316883e-01	6.4173863323e+01	4.6488147015e-04	-1.7447242428e+10	6.0077518738e+10	-4.2630276375e+10
1.1748975549e-12	1.7439563582e+10	-5.9972696061e+10	6.4063615523e+01	2.4270124809e-10	6.2966791354e-01	6.4063140651e+01	4.7487167059e-04	-1.7439563646e+10	5.9972696060e+10	-4.2533132479e+10
1.2022644346e-12	1.7426840345e+10	-5.9865672215e+10	6.3950391533e+01	2.4874553916e-10	6.5702138866e-01	6.3949906456e+01	4.8507653312e-04	-1.7426840409e+10	5.9865672214e+10	-4.2438831870e+10
