<<<<<<< HEAD
Time            	OH              	H2O             	H3O             	O2              	I1              	I1*             	I2*             	I3*             	I4*             
0.0000000000e+00	2.1729026033e+04	-1.6538773288e+04	4.3434219771e+03	-4.7538441111e+03	0.0000000000e+00	1.6888467209e+03	-1.6543916417e+01	2.5986499556e+01	-1.6982893041e+03
1.0000000000e-12	2.1729015531e+04	-1.6538763841e+04	4.3434125991e+03	-4.7538441114e+03	0.0000000000e+00	1.6888372316e+03	-1.6543825909e+01	2.5976065949e+01	-1.6982694716e+03
1.0232929923e-12	2.1729015286e+04	-1.6538763621e+04	4.3434123806e+03	-4.7538441114e+03	0.0000000000e+00	1.6888370106e+03	-1.6543823800e+01	2.5975822921e+01	-1.6982690097e+03
1.0471285481e-12	2.1729015036e+04	-1.6538763396e+04	4.3434121571e+03	-4.7538441114e+03	0.0000000000e+00	1.6888367844e+03	-1.6543821643e+01	2.5975574231e+01	-1.6982685370e+03
1.0715193052e-12	2.1729014780e+04	-1.6538763165e+04	4.3434119284e+03	-4.7538441114e+03	0.0000000000e+00	1.6888365529e+03	-1.6543819436e+01	2.5975319749e+01	-1.6982680532e+03
1.0964781961e-12	2.1729014518e+04	-1.6538762930e+04	4.3434116943e+03	-4.7538441114e+03	0.0000000000e+00	1.6888363161e+03	-1.6543817177e+01	2.5975059339e+01	-1.6982675582e+03
1.1220184543e-12	2.1729014249e+04	-1.6538762688e+04	4.3434114548e+03	-4.7538441114e+03	0.0000000000e+00	1.6888360737e+03	-1.6543814865e+01	2.5974792864e+01	-1.6982670517e+03
1.1481536215e-12	2.1729013975e+04	-1.6538762441e+04	4.3434112097e+03	-4.7538441114e+03	0.0000000000e+00	1.6888358257e+03	-1.6543812500e+01	2.5974520181e+01	-1.6982665334e+03
1.1748975549e-12	2.1729013694e+04	-1.6538762189e+04	4.3434109589e+03	-4.7538441114e+03	0.0000000000e+00	1.6888355719e+03	-1.6543810079e+01	2.5974241148e+01	-1.6982660030e+03
1.2022644346e-12	2.1729013407e+04	-1.6538761930e+04	4.3434107022e+03	-4.7538441114e+03	0.0000000000e+00	1.6888353122e+03	-1.6543807602e+01	2.5973955614e+01	-1.6982654603e+03
1.2302687708e-12	2.1729013112e+04	-1.6538761666e+04	4.3434104396e+03	-4.7538441114e+03	0.0000000000e+00	1.6888350465e+03	-1.6543805068e+01	2.5973663430e+01	-1.6982649049e+03
1.2589254118e-12	2.1729012811e+04	-1.6538761395e+04	4.3434101709e+03	-4.7538441115e+03	0.0000000000e+00	1.6888347746e+03	-1.6543802474e+01	2.5973364440e+01	-1.6982643365e+03
1.2882495517e-12	2.1729012504e+04	-1.6538761118e+04	4.3434098959e+03	-4.7538441115e+03	0.0000000000e+00	1.6888344963e+03	-1.6543799820e+01	2.5973058486e+01	-1.6982637550e+03
1.3182567386e-12	2.1729012188e+04	-1.6538760835e+04	4.3434096145e+03	-4.7538441115e+03	0.0000000000e+00	1.6888342116e+03	-1.6543797104e+01	2.5972745406e+01	-1.6982631599e+03
1.3489628826e-12	2.1729011866e+04	-1.6538760544e+04	4.3434093265e+03	-4.7538441115e+03	0.0000000000e+00	1.6888339202e+03	-1.6543794325e+01	2.5972425033e+01	-1.6982625509e+03
1.3803842646e-12	2.1729011536e+04	-1.6538760248e+04	4.3434090318e+03	-4.7538441115e+03	0.0000000000e+00	1.6888336220e+03	-1.6543791481e+01	2.5972097197e+01	-1.6982619277e+03
1.4125375446e-12	2.1729011198e+04	-1.6538759944e+04	4.3434087303e+03	-4.7538441115e+03	0.0000000000e+00	1.6888333169e+03	-1.6543788571e+01	2.5971761726e+01	-1.6982612901e+03
1.4454397707e-12	2.1729010853e+04	-1.6538759633e+04	4.3434084218e+03	-4.7538441115e+03	0.0000000000e+00	1.6888330047e+03	-1.6543785593e+01	2.5971418440e+01	-1.6982606375e+03
1.4791083882e-12	2.1729010499e+04	-1.6538759315e+04	4.3434081060e+03	-4.7538441115e+03	0.0000000000e+00	1.6888326852e+03	-1.6543782546e+01	2.5971067159e+01	-1.6982599698e+03
1.5135612484e-12	2.1729010137e+04	-1.6538758989e+04	4.3434077829e+03	-4.7538441115e+03	0.0000000000e+00	1.6888323583e+03	-1.6543779427e+01	2.5970707695e+01	-1.6982592865e+03
1.5488166189e-12	2.1729009767e+04	-1.6538758656e+04	4.3434074523e+03	-4.7538441115e+03	0.0000000000e+00	1.6888320237e+03	-1.6543776237e+01	2.5970339858e+01	-1.6982585873e+03
1.5848931925e-12	2.1729009388e+04	-1.6538758316e+04	4.3434071140e+03	-4.7538441116e+03	0.0000000000e+00	1.6888316814e+03	-1.6543772971e+01	2.5969963454e+01	-1.6982578719e+03
1.6218100974e-12	2.1729009001e+04	-1.6538757967e+04	4.3434067678e+03	-4.7538441116e+03	0.0000000000e+00	1.6888313311e+03	-1.6543769630e+01	2.5969578282e+01	-1.6982571397e+03
1.6595869074e-12	2.1729008604e+04	-1.6538757610e+04	4.3434064135e+03	-4.7538441116e+03	0.0000000000e+00	1.6888309726e+03	-1.6543766211e+01	2.5969184139e+01	-1.6982563905e+03
1.6982436525e-12	2.1729008198e+04	-1.6538757245e+04	4.3434060510e+03	-4.7538441116e+03	0.0000000000e+00	1.6888306058e+03	-1.6543762712e+01	2.5968780814e+01	-1.6982556239e+03
1.7378008287e-12	2.1729007782e+04	-1.6538756871e+04	4.3434056800e+03	-4.7538441116e+03	0.0000000000e+00	1.6888302304e+03	-1.6543759132e+01	2.5968368096e+01	-1.6982548394e+03
1.7782794100e-12	2.1729007357e+04	-1.6538756489e+04	4.3434053004e+03	-4.7538441116e+03	0.0000000000e+00	1.6888298463e+03	-1.6543755468e+01	2.5967945764e+01	-1.6982540366e+03
1.8197008586e-12	2.1729006922e+04	-1.6538756097e+04	4.3434049120e+03	-4.7538441116e+03	0.0000000000e+00	1.6888294532e+03	-1.6543751720e+01	2.5967513595e+01	-1.6982532151e+03
1.8620871367e-12	2.1729006477e+04	-1.6538755697e+04	4.3434045145e+03	-4.7538441116e+03	0.0000000000e+00	1.6888290510e+03	-1.6543747883e+01	2.5967071360e+01	-1.6982523745e+03
1.9054607180e-12	2.1729006022e+04	-1.6538755287e+04	4.3434041077e+03	-4.7538441117e+03	0.0000000000e+00	1.6888286395e+03	-1.6543743958e+01	2.5966618824e+01	-1.6982515143e+03
1.9498445998e-12	2.1729005556e+04	-1.6538754868e+04	4.3434036915e+03	-4.7538441117e+03	0.0000000000e+00	1.6888282183e+03	-1.6543739941e+01	2.5966155747e+01	-1.6982506341e+03
1.9952623150e-12	2.1729005079e+04	-1.6538754439e+04	4.3434032656e+03	-4.7538441117e+03	0.0000000000e+00	1.6888277873e+03	-1.6543735830e+01	2.5965681884e+01	-1.6982497334e+03
2.0417379447e-12	2.1729004590e+04	-1.6538754000e+04	4.3434028297e+03	-4.7538441117e+03	0.0000000000e+00	1.6888273463e+03	-1.6543731624e+01	2.5965196984e+01	-1.6982488117e+03
2.0892961309e-12	2.1729004091e+04	-1.6538753551e+04	4.3434023838e+03	-4.7538441117e+03	0.0000000000e+00	1.6888268950e+03	-1.6543727319e+01	2.5964700789e+01	-1.6982478685e+03
2.1379620895e-12	2.1729003580e+04	-1.6538753091e+04	4.3434019274e+03	-4.7538441117e+03	0.0000000000e+00	1.6888264332e+03	-1.6543722915e+01	2.5964193037e+01	-1.6982469033e+03
2.1877616239e-12	2.1729003057e+04	-1.6538752620e+04	4.3434014604e+03	-4.7538441117e+03	0.0000000000e+00	1.6888259607e+03	-1.6543718407e+01	2.5963673458e+01	-1.6982459157e+03
2.2387211386e-12	2.1729002522e+04	-1.6538752139e+04	4.3434009825e+03	-4.7538441118e+03	0.0000000000e+00	1.6888254771e+03	-1.6543713795e+01	2.5963141776e+01	-1.6982449051e+03
2.2908676528e-12	2.1729001974e+04	-1.6538751646e+04	4.3434004934e+03	-4.7538441118e+03	0.0000000000e+00	1.6888249823e+03	-1.6543709076e+01	2.5962597711e+01	-1.6982438709e+03
2.3442288153e-12	2.1729001414e+04	-1.6538751142e+04	4.3433999930e+03	-4.7538441118e+03	0.0000000000e+00	1.6888244759e+03	-1.6543704246e+01	2.5962040972e+01	-1.6982428126e+03
2.3988329190e-12	2.1729000840e+04	-1.6538750626e+04	4.3433994810e+03	-4.7538441118e+03	0.0000000000e+00	1.6888239578e+03	-1.6543699304e+01	2.5961471267e+01	-1.6982417297e+03
2.4547089157e-12	2.1729000254e+04	-1.6538750099e+04	4.3433989570e+03	-4.7538441118e+03	0.0000000000e+00	1.6888234276e+03	-1.6543694247e+01	2.5960888291e+01	-1.6982406216e+03
2.5118864315e-12	2.1728999653e+04	-1.6538749558e+04	4.3433984208e+03	-4.7538441118e+03	0.0000000000e+00	1.6888228850e+03	-1.6543689072e+01	2.5960291737e+01	-1.6982394877e+03
2.5703957828e-12	2.1728999039e+04	-1.6538749006e+04	4.3433978721e+03	-4.7538441119e+03	0.0000000000e+00	1.6888223298e+03	-1.6543683776e+01	2.5959681287e+01	-1.6982383273e+03
2.6302679919e-12	2.1728998410e+04	-1.6538748440e+04	4.3433973106e+03	-4.7538441119e+03	0.0000000000e+00	1.6888217616e+03	-1.6543678358e+01	2.5959056619e+01	-1.6982371399e+03
2.6915348039e-12	2.1728997766e+04	-1.6538747861e+04	4.3433967361e+03	-4.7538441119e+03	0.0000000000e+00	1.6888211803e+03	-1.6543672812e+01	2.5958417400e+01	-1.6982359249e+03
2.7542287033e-12	2.1728997108e+04	-1.6538747269e+04	4.3433961481e+03	-4.7538441119e+03	0.0000000000e+00	1.6888205854e+03	-1.6543667138e+01	2.5957763293e+01	-1.6982346815e+03
2.8183829313e-12	2.1728996434e+04	-1.6538746663e+04	4.3433955465e+03	-4.7538441119e+03	0.0000000000e+00	1.6888199766e+03	-1.6543661332e+01	2.5957093951e+01	-1.6982334092e+03
2.8840315031e-12	2.1728995745e+04	-1.6538746043e+04	4.3433949309e+03	-4.7538441120e+03	0.0000000000e+00	1.6888193537e+03	-1.6543655390e+01	2.5956409017e+01	-1.6982321073e+03
2.9512092267e-12	2.1728995039e+04	-1.6538745408e+04	4.3433943009e+03	-4.7538441120e+03	0.0000000000e+00	1.6888187162e+03	-1.6543649310e+01	2.5955708130e+01	-1.6982307750e+03
3.0199517204e-12	2.1728994317e+04	-1.6538744759e+04	4.3433936563e+03	-4.7538441120e+03	0.0000000000e+00	1.6888180639e+03	-1.6543643089e+01	2.5954990919e+01	-1.6982294117e+03
3.0902954325e-12	2.1728993579e+04	-1.6538744094e+04	4.3433929966e+03	-4.7538441120e+03	0.0000000000e+00	1.6888173964e+03	-1.6543636722e+01	2.5954257001e+01	-1.6982280167e+03
3.1622776602e-12	2.1728992823e+04	-1.6538743414e+04	4.3433923216e+03	-4.7538441121e+03	0.0000000000e+00	1.6888167134e+03	-1.6543630207e+01	2.5953505989e+01	-1.6982265891e+03
3.2359365693e-12	2.1728992049e+04	-1.6538742718e+04	4.3433916308e+03	-4.7538441121e+03	0.0000000000e+00	1.6888160144e+03	-1.6543623541e+01	2.5952737485e+01	-1.6982251284e+03
3.3113112148e-12	2.1728991258e+04	-1.6538742006e+04	4.3433909240e+03	-4.7538441121e+03	0.0000000000e+00	1.6888152992e+03	-1.6543616719e+01	2.5951951080e+01	-1.6982236335e+03
3.3884415614e-12	2.1728990448e+04	-1.6538741278e+04	4.3433902007e+03	-4.7538441121e+03	0.0000000000e+00	1.6888145673e+03	-1.6543609738e+01	2.5951146358e+01	-1.6982221039e+03
3.4673685045e-12	2.1728989619e+04	-1.6538740532e+04	4.3433894605e+03	-4.7538441121e+03	0.0000000000e+00	1.6888138183e+03	-1.6543602594e+01	2.5950322893e+01	-1.6982205386e+03
3.5481338923e-12	2.1728988771e+04	-1.6538739769e+04	4.3433887031e+03	-4.7538441122e+03	0.0000000000e+00	1.6888130520e+03	-1.6543595285e+01	2.5949480247e+01	-1.6982189369e+03
3.6307805477e-12	2.1728987903e+04	-1.6538738988e+04	4.3433879281e+03	-4.7538441122e+03	0.0000000000e+00	1.6888122677e+03	-1.6543587805e+01	2.5948617975e+01	-1.6982172979e+03
3.7153522910e-12	2.1728987015e+04	-1.6538738190e+04	4.3433871350e+03	-4.7538441122e+03	0.0000000000e+00	1.6888114652e+03	-1.6543580150e+01	2.5947735618e+01	-1.6982156207e+03
3.8018939632e-12	2.1728986106e+04	-1.6538737372e+04	4.3433863234e+03	-4.7538441123e+03	0.0000000000e+00	1.6888106440e+03	-1.6543572318e+01	2.5946832710e+01	-1.6982139044e+03
3.8904514499e-12	2.1728985176e+04	-1.6538736535e+04	4.3433854930e+03	-4.7538441123e+03	0.0000000000e+00	1.6888098037e+03	-1.6543564303e+01	2.5945908771e+01	-1.6982121482e+03
