                Left	               Right	                Flux	              R_FORW	              R_BACK
                H2O*	                 H2O	       -2.242152e+00	        9.316425e+08	        9.316425e+08
                H2O*	                  OH	        2.242152e+00	        2.242152e+00	        3.300339e-09
                H2O*	                  H*	        2.242152e+00	        2.242152e+00	        3.300339e-09
                H2O*	                   *	       -2.242152e+00	        9.316425e+08	        9.316425e+08
                CHO*	                 H2O	        1.776357e-15	        1.403213e+01	        1.403213e+01
                CHO*	                 CO*	        1.776357e-15	        1.403213e+01	        1.403213e+01
                 H2O	                H2O*	        2.242152e+00	        9.316425e+08	        9.316425e+08
                 H2O	                CHO*	       -1.776357e-15	        1.403213e+01	        1.403213e+01
                 H2O	                  OH	        2.242152e+00	        1.627428e+01	        1.403213e+01
                 H2O	                   *	        2.242152e+00	        2.242152e+00	        0.000000e+00
                 H2O	                  H2	        2.242152e+00	        2.242152e+00	        0.000000e+00
                  OH	                H2O*	       -2.242152e+00	        3.300339e-09	        2.242152e+00
                  OH	                 H2O	       -2.242152e+00	        1.403213e+01	        1.627428e+01
                  OH	                  H*	       -2.242152e+00	        0.000000e+00	        2.242152e+00
                  OH	                 CO*	        1.776357e-15	        1.403213e+01	        1.403213e+01
                  CO	                 CO*	        0.000000e+00	        3.369239e+07	        3.369239e+07
                  H*	                H2O*	       -2.242152e+00	        3.300339e-09	        2.242152e+00
                  H*	                  OH	        2.242152e+00	        2.242152e+00	        0.000000e+00
                  H*	                   *	        2.242152e+00	        2.242152e+00	        0.000000e+00
                  H*	                  H2	        2.242152e+00	        2.242152e+00	        0.000000e+00
               COCO*	                 CO*	        6.110668e-13	        3.927075e+01	        3.927075e+01
                   *	                H2O*	        2.242152e+00	        9.316425e+08	        9.316425e+08
                   *	                 H2O	       -2.242152e+00	        0.000000e+00	        2.242152e+00
                   *	                  H*	       -2.242152e+00	        0.000000e+00	        2.242152e+00
                   *	                 CO*	        0.000000e+00	        3.369239e+07	        3.369239e+07
                  H2	                 H2O	       -2.242152e+00	        0.000000e+00	        2.242152e+00
                  H2	                  H*	       -2.242152e+00	        0.000000e+00	        2.242152e+00
                 CO*	                CHO*	       -1.776357e-15	        1.403213e+01	        1.403213e+01
                 CO*	                  OH	       -1.776357e-15	        1.403213e+01	        1.403213e+01
                 CO*	                  CO	       -0.000000e+00	        3.369239e+07	        3.369239e+07
                 CO*	               COCO*	       -6.110668e-13	        3.927075e+01	        3.927075e+01
                 CO*	                   *	       -0.000000e+00	        3.369239e+07	        3.369239e+07
